Tip localitate,LOCALITATE,JUDET,Ani,CUI,CAEN,ACTIVE IMOBILIZATE-TOTAL,ACTIVE CIRCULANTE-TOTAL,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI-TOTAL,Capital subscris varsat,Patromoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profit brut,Pierdere bruta,Profit net,Pierdere neta,Numar mediu de salariati,DENUMIRE,COD_INMATRICULARE,ADRESA COMPLETA
Sat,Hăsdate,Cluj,01.01.2016,32397171,5630,,45494,45529,,-35,,78868,,,-33374,200,,34437,34463,37082,0,2619,0,3653,1,PICCOLA CORA SRL,J12/3186/2013,"Sat Hăsdate, Comuna Savadisla, Str. PRINCIPALĂ, Nr. 215A, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,33299635,5630,,1,,,1,,9558,,,-9557,200,,0,0,,0,0,0,0,,ROX MYH ADY SRL,J12/1972/2014,"Municipiul Cluj-Napoca, Str. DÂMBOVIŢEI, Nr. 87, Scara 2, Apartament 117, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,32094160,5610,108953,5421,1875,,3546,,149273,,,-34899,360,,341534,417487,369894,47593,0,44211,0,,ELMEIDAN SRL,J12/2476/2013,"Municipiul Cluj-Napoca, Str. DR. LOUIS PASTEUR, Nr. 74, Etaj parter, Apartament 35, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,32094160,5610,102004,23696,13066,8520,2110,,206645,,,-80945,360,,115565,143200,188503,0,45303,0,46046,,ELMEIDAN SRL,J12/2476/2013,"Municipiul Cluj-Napoca, Str. DR. LOUIS PASTEUR, Nr. 74, Etaj parter, Apartament 35, Județ Cluj,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,34100900,5629,88856,425757,34379,161525,229853,4440,323417,,,195636,200,,257746,257846,267264,0,9418,0,12143,,CALIFORNIA BURGER S.R.L.,J12/417/2015,"Municipiul Cluj-Napoca, Aleea GODEANU, Nr. 7, Bloc 19, Scara 1, Etaj 2, Apartament 11, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,34100900,5629,67598,318557,20782,160039,137736,4440,157761,,,232834,200,,870986,871061,825333,45728,0,37199,0,8,CALIFORNIA BURGER S.R.L.,J12/417/2015,"Municipiul Cluj-Napoca, Aleea GODEANU, Nr. 7, Bloc 19, Scara 1, Etaj 2, Apartament 11, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2016,34100900,5629,16485,139180,96595,545,42040,4440,14365,,,145740,200,,594877,594897,491682,103215,0,99208,0,6,CALIFORNIA BURGER S.R.L.,J12/417/2015,"Municipiul Cluj-Napoca, Aleea GODEANU, Nr. 7, Bloc 19, Scara 1, Etaj 2, Apartament 11, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2017,34100900,5629,49033,204641,93437,47215,63989,4440,13887,,,244227,200,,456155,456175,353126,103049,0,98487,0,6,CALIFORNIA BURGER S.R.L.,J12/417/2015,"Municipiul Cluj-Napoca, Aleea GODEANU, Nr. 7, Bloc 19, Scara 1, Etaj 2, Apartament 11, Județ Cluj,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2019,33943344,5610,143169,1654304,200802,1365261,88241,,239369,,,1558104,600,,2947626,2953488,1987331,966157,0,941027,0,15,NIKPAT SRL,J12/16/2015,"Municipiul Cluj-Napoca, Aleea HERCULANE, Nr. 3, Apartament 2, Județ Cluj,,,,,,,,,,,,,,,,,"
Municipiul,Cluj-Napoca,Cluj,01.01.2018,32010657,5610,,28822,18724,3423,6675,,62116,,,-33294,200,,0,0,,0,0,0,0,0,INSALADA SRL,J12/2244/2013,"Municipiul Cluj-Napoca, Aleea PROF.VALERIU BOLOGA, Nr. 3, Etaj 3, Apartament 40, Județ Cluj,,,,,,,,,,,,,,,,"
